                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7831,                 2.7414,                 1.5599,                0.94713,                0.57806,                0.79366,                0.33953,                 1.6731,                 3.2155,                 1.5489,                0.00065,                0.00065,                0.00065
                      2,                 1.6043,                 2.1401,                 1.3877,                0.68886,                 0.6129,                0.68696,                 0.3335,                  1.639,                 2.9804,                 1.5198,              0.0012515,              0.0012515,              0.0012515
                      3,                 1.6412,                 1.9526,                 1.3946,                0.34789,                 0.6129,                0.43082,                 0.1483,                 2.3833,                  3.937,                 2.3371,               0.001787,               0.001787,               0.001787
                      4,                 1.6452,                 1.9894,                 1.4438,                0.54977,                0.54839,                 0.4403,                0.16559,                 2.0771,                 2.9236,                 2.0672,               0.001703,               0.001703,               0.001703
                      5,                 1.5927,                 1.7955,                 1.4464,                0.75658,                0.48387,                0.65205,                0.33993,                 1.7659,                 2.4899,                  1.769,               0.001703,               0.001703,               0.001703
                      6,                 1.5787,                 1.6974,                 1.4151,                0.72477,                0.76472,                0.78814,                0.42911,                 1.4783,                 3.6815,                 1.4527,               0.001604,               0.001604,               0.001604
                      7,                 1.4963,                 1.5397,                 1.4085,                0.90213,                0.90323,                0.94412,                0.49616,                 1.5308,                 2.2052,                 1.5037,               0.001505,               0.001505,               0.001505
                      8,                 1.5773,                 1.4802,                    1.4,                0.82356,                0.90323,                0.87715,                0.45125,                 1.7404,                 2.2785,                 1.6191,               0.001406,               0.001406,               0.001406
                      9,                 1.4995,                 1.4154,                 1.3665,                0.77906,                0.77419,                0.77837,                0.37506,                 1.7248,                  2.292,                 1.5581,               0.001307,               0.001307,               0.001307
                     10,                  1.492,                 1.3934,                 1.3466,                 0.9905,                0.93548,                0.96594,                0.54094,                  1.422,                 1.5062,                 1.3105,               0.001208,               0.001208,               0.001208
                     11,                 1.4697,                 1.4121,                 1.3291,                0.96281,                0.93548,                0.95618,                0.53896,                 1.4396,                 1.3056,                 1.3337,               0.001109,               0.001109,               0.001109
                     12,                 1.4508,                  1.348,                 1.3012,                0.90213,                0.89227,                0.90437,                 0.4755,                 1.4965,                  1.575,                 1.3271,                0.00101,                0.00101,                0.00101
                     13,                 1.3438,                 1.2378,                 1.2639,                0.98947,                0.93548,                0.95959,                0.56165,                 1.2475,                 1.2285,                 1.1836,               0.000911,               0.000911,               0.000911
                     14,                 1.3277,                  1.176,                 1.2244,                0.99212,                0.96774,                0.96623,                0.55597,                 1.3134,                 1.3091,                 1.2261,               0.000812,               0.000812,               0.000812
                     15,                 1.2384,                 1.1316,                 1.2049,                0.99032,                0.96774,                0.96556,                0.59941,                 1.2583,                 1.1901,                  1.204,               0.000713,               0.000713,               0.000713
                     16,                 1.2462,                  1.051,                  1.172,                0.99394,                0.93548,                0.96321,                0.58369,                 1.2555,                0.99562,                 1.2153,               0.000614,               0.000614,               0.000614
                     17,                 1.2014,                0.97689,                 1.1782,                0.96653,                0.93163,                0.94962,                 0.5366,                 1.4368,                 1.0697,                 1.2906,               0.000515,               0.000515,               0.000515
                     18,                 1.1635,                0.95729,                 1.1459,                0.99702,                0.96774,                0.97489,                0.57249,                 1.4206,                0.95686,                 1.2299,               0.000416,               0.000416,               0.000416
                     19,                 1.1187,                0.89647,                 1.1274,                0.96297,                0.96774,                0.96419,                0.54051,                 1.3208,                0.87483,                 1.1983,               0.000317,               0.000317,               0.000317
                     20,                 1.1089,                0.88288,                  1.104,                0.99861,                0.96774,                0.96517,                0.59278,                 1.2132,                0.85847,                 1.1771,               0.000218,               0.000218,               0.000218
